,pos,pos_name,msd_name,attr
0,noun,noun,gender,Masc
1,noun,noun,gender,Fem
2,noun,noun,gender,Neut
3,noun,noun,number,Sing
4,noun,noun,number,Plur
5,noun,noun,case,Nom
6,noun,noun,case,Acc
7,propn,properNoun,gender,Masc
8,propn,properNoun,gender,Fem
9,propn,properNoun,gender,Neut
10,propn,properNoun,number,Sing
11,propn,properNoun,number,Plur
12,propn,properNoun,case,Nom
13,propn,properNoun,case,Acc
14,adj,adjective,gender,Masc
15,adj,adjective,gender,Fem
16,adj,adjective,gender,Neut
17,adj,adjective,number,Sing
18,adj,adjective,number,Plur
19,adj,adjective,case,Nom
20,adj,adjective,case,Acc
21,adj,adjective,degree,Pos
22,adj,adjective,degree,Cmp
23,adj,adjective,degree,Sup
24,adj,adjective,degree,Abs
25,det,determiner,deterType,ArtDef
26,det,determiner,deterType,ArtIndef
27,det,determiner,deterType,Poss
28,det,determiner,deterType,Rel
29,det,determiner,deterType,Dem
30,det,determiner,deterType,Neg
31,det,determiner,deterType,Ind
32,det,determiner,deterType,Int
33,det,determiner,deterType,Exc
34,det,determiner,gender,Masc
35,det,determiner,gender,Fem
36,det,determiner,gender,Neut
37,det,determiner,number,Sing
38,det,determiner,number,Plur
39,det,determiner,case,Nom
40,det,determiner,case,Acc
41,det,determiner,MWEs,MWEs
42,pron,pronoun,pronType,Prs
43,pron,pronoun,pronType,Poss
44,pron,pronoun,pronType,Rel
45,pron,pronoun,pronType,Dem
46,pron,pronoun,pronType,Neg
47,pron,pronoun,pronType,Ind
48,pron,pronoun,pronType,Int
49,pron,pronoun,person,1
50,pron,pronoun,person,2
51,pron,pronoun,person,3
52,pron,pronoun,gender,Masc
53,pron,pronoun,gender,Fem
54,pron,pronoun,gender,Neut
55,pron,pronoun,number,Sing
56,pron,pronoun,number,Plur
57,pron,pronoun,case,Nom
58,pron,pronoun,case,Acc
59,pron,pronoun,MWEs,MWEs
60,verb,verb,verbForm,Fin
61,verb,verb,verbForm,Ind
62,verb,verb,mood,Inf
63,verb,verb,mood,Part
64,verb,verb,mood,Ger
65,verb,verb,mood,Ind
66,verb,verb,mood,Imp
67,verb,verb,mood,Cnd
68,verb,verb,mood,Sub
69,verb,verb,tense,Past
70,verb,verb,tense,Pres
71,verb,verb,tense,Fut
72,verb,verb,tense,Imp
73,verb,verb,voice,Act
74,verb,verb,voice,Pass
75,verb,verb,voice,Rfl
76,verb,verb,property,Intr
77,verb,verb,property,Trans
78,verb,verb,person,1
79,verb,verb,person,2
80,verb,verb,person,3
81,verb,verb,number,Sing
82,verb,verb,number,Plur
83,verb,verb,gender,Masc
84,verb,verb,gender,Fem
85,verb,verb,gender,Neut
86,verb,verb,MWEs,MWEs
87,adp,adposition,adpType,PrepS
88,adp,adposition,adpType,PrepArt
89,adp,adposition,MWEs,MWEs
90,adv,adverb,advType,Man
91,adv,adverb,advType,Loc
92,adv,adverb,advType,Tim
93,adv,adverb,advType,Deg
94,adv,adverb,advType,Freq
95,adv,adverb,advType2,Dem
96,adv,adverb,advType2,Ind
97,adv,adverb,advType2,Neg
98,adv,adverb,advType2,Int
99,adv,adverb,advType2,Tot
100,adv,adverb,degree,Pos
101,adv,adverb,degree,Cmp
102,adv,adverb,degree,Sup
103,adv,adverb,degree,Abs
104,adv,adverb,MWEs,MWEs
105,cconj,coordinating conjunction,MWEs,MWEs
106,sconj,subordinating conjunction,MWEs,MWEs
107,num,numeral,numType,Card
108,num,numeral,numType,Ord
109,part,particle,partType,Pos
110,part,particle,partType,Neg
111,part,particle,partType,Int
112,part,particle,partType,Exc
113,part,particle,partType,Verb
114,intj,interjection,,
115,x,other,,
116,-,del,,
